gsm	title	tissue_class	sample_type_norm	program	gene	tissue_detection_fraction
GSM8514533	pdac5	tumor	ffpe	Tfh_like	CXCR5	0.002769230769230769
GSM8514533	pdac5	tumor	ffpe	Tfh_like	PDCD1	0.0043076923076923075
GSM8514533	pdac5	tumor	ffpe	Tfh_like	ICOS	0.009846153846153846
GSM8514533	pdac5	tumor	ffpe	Tfh_like	BCL6	0.23723076923076922
GSM8514533	pdac5	tumor	ffpe	Tfh_like	IL7R	0.05692307692307692
GSM8514533	pdac5	tumor	ffpe	Tfh_like	CXCL13	0.008307692307692308
GSM8514533	pdac5	tumor	ffpe	B_cell_strict	MS4A1	0.007076923076923077
GSM8514533	pdac5	tumor	ffpe	B_cell_strict	CD79A	0.01323076923076923
GSM8514533	pdac5	tumor	ffpe	B_cell_strict	CD79B	0.016923076923076923
GSM8514533	pdac5	tumor	ffpe	B_cell_strict	CD22	0.008
GSM8514533	pdac5	tumor	ffpe	B_cell_strict	CD37	0.12492307692307693
GSM8514533	pdac5	tumor	ffpe	Plasma_cell	MZB1	0.05261538461538461
GSM8514533	pdac5	tumor	ffpe	Plasma_cell	SDC1	0.14215384615384616
GSM8514533	pdac5	tumor	ffpe	Plasma_cell	XBP1	0.5476923076923077
GSM8514534	pdac6	tumor	ffpe	DC_core	FCER1A	0.022874701263229772
GSM8514534	pdac6	tumor	ffpe	DC_core	CLEC10A	0.46432229429839533
GSM8514534	pdac6	tumor	ffpe	DC_core	CD1C	0.02799590303857972
GSM8514534	pdac6	tumor	ffpe	DC_core	CST3	0.8115397746671219
GSM8514534	pdac6	tumor	ffpe	DC_core	HLA-DRA	0.9262546944349608
GSM8514534	pdac6	tumor	ffpe	DC_core	HLA-DPA1	0.8709457152611813
GSM8514534	pdac6	tumor	ffpe	DC_core	HLA-DPB1	0.8880163878456812
GSM8514534	pdac6	tumor	ffpe	mregDC_strict	LAMP3	0.21577330146807785
GSM8514534	pdac6	tumor	ffpe	mregDC_strict	FSCN1	0.18504609081597814
GSM8514534	pdac6	tumor	ffpe	mregDC_strict	CCR7	0.33185387504267666
GSM8514534	pdac6	tumor	ffpe	mregDC_strict	CCL19	0.7118470467736429
GSM8514534	pdac6	tumor	ffpe	mregDC_strict	CD80	0.2608398770911574
GSM8514534	pdac6	tumor	ffpe	mregDC_strict	CD86	0.37692045066575625
GSM8514534	pdac6	tumor	ffpe	Tfh_like	CD3D	0.5903038579720041
GSM8514534	pdac6	tumor	ffpe	Tfh_like	CD3E	0.5213383407306248
GSM8514534	pdac6	tumor	ffpe	Tfh_like	CD4	0.5944008193922841
GSM8514534	pdac6	tumor	ffpe	Tfh_like	CXCR5	0.09354728576305907
GSM8514534	pdac6	tumor	ffpe	Tfh_like	PDCD1	0.13349265961078866
GSM8514534	pdac6	tumor	ffpe	Tfh_like	ICOS	0.27074086719016727
GSM8514534	pdac6	tumor	ffpe	Tfh_like	BCL6	0.5479685899624446
GSM8514534	pdac6	tumor	ffpe	Tfh_like	IL7R	0.7190167292591328
GSM8514534	pdac6	tumor	ffpe	Tfh_like	CXCL13	0.48548992830317517
GSM8514534	pdac6	tumor	ffpe	B_cell_strict	MS4A1	0.3690679412768863
GSM8514534	pdac6	tumor	ffpe	B_cell_strict	CD79A	0.5076818026630249
GSM8514534	pdac6	tumor	ffpe	B_cell_strict	CD79B	0.20348241720723798
GSM8514534	pdac6	tumor	ffpe	B_cell_strict	CD22	0.21679754182314784
GSM8514534	pdac6	tumor	ffpe	B_cell_strict	CD37	0.7681802663024924
GSM8514534	pdac6	tumor	ffpe	Plasma_cell	MZB1	0.5872311369067942
GSM8514534	pdac6	tumor	ffpe	Plasma_cell	SDC1	0.26732673267326734
GSM8514534	pdac6	tumor	ffpe	Plasma_cell	XBP1	0.8490952543530215
GSM8514535	pdac7	tumor	ffpe	DC_core	FCER1A	0.026642628205128204
GSM8514535	pdac7	tumor	ffpe	DC_core	CLEC10A	0.08974358974358974
GSM8514535	pdac7	tumor	ffpe	DC_core	CD1C	0.019230769230769232
GSM8514535	pdac7	tumor	ffpe	DC_core	CST3	0.7271634615384616
GSM8514535	pdac7	tumor	ffpe	DC_core	HLA-DRA	0.7956730769230769
GSM8514535	pdac7	tumor	ffpe	DC_core	HLA-DPA1	0.6306089743589743
GSM8514535	pdac7	tumor	ffpe	DC_core	HLA-DPB1	0.7009214743589743
GSM8514535	pdac7	tumor	ffpe	mregDC_strict	LAMP3	0.06470352564102565
GSM8514535	pdac7	tumor	ffpe	mregDC_strict	FSCN1	0.11638621794871795
GSM8514535	pdac7	tumor	ffpe	mregDC_strict	CCR7	0.07311698717948718
GSM8514535	pdac7	tumor	ffpe	mregDC_strict	CCL19	0.2904647435897436
GSM8514535	pdac7	tumor	ffpe	mregDC_strict	CD80	0.07051282051282051
GSM8514535	pdac7	tumor	ffpe	mregDC_strict	CD86	0.1252003205128205
GSM8514535	pdac7	tumor	ffpe	Tfh_like	CD3D	0.19571314102564102
GSM8514535	pdac7	tumor	ffpe	Tfh_like	CD3E	0.16626602564102563
GSM8514535	pdac7	tumor	ffpe	Tfh_like	CD4	0.19751602564102563
GSM8514535	pdac7	tumor	ffpe	Tfh_like	CXCR5	0.023036858974358976
GSM8514535	pdac7	tumor	ffpe	Tfh_like	PDCD1	0.043068910256410256
GSM8514535	pdac7	tumor	ffpe	Tfh_like	ICOS	0.036258012820512824
GSM8514535	pdac7	tumor	ffpe	Tfh_like	BCL6	0.23838141025641027
GSM8514535	pdac7	tumor	ffpe	Tfh_like	IL7R	0.2798477564102564
GSM8514535	pdac7	tumor	ffpe	Tfh_like	CXCL13	0.20232371794871795
GSM8514535	pdac7	tumor	ffpe	B_cell_strict	MS4A1	0.10797275641025642
GSM8514535	pdac7	tumor	ffpe	B_cell_strict	CD79A	0.16045673076923078
GSM8514535	pdac7	tumor	ffpe	B_cell_strict	CD79B	0.08012820512820513
GSM8514535	pdac7	tumor	ffpe	B_cell_strict	CD22	0.07672275641025642
GSM8514535	pdac7	tumor	ffpe	B_cell_strict	CD37	0.38000801282051283
GSM8514535	pdac7	tumor	ffpe	Plasma_cell	MZB1	0.21975160256410256
GSM8514535	pdac7	tumor	ffpe	Plasma_cell	SDC1	0.18389423076923078
GSM8514535	pdac7	tumor	ffpe	Plasma_cell	XBP1	0.6392227564102564
GSM8514536	pdac8	tumor	ffpe	DC_core	FCER1A	0.22108433734939759
GSM8514536	pdac8	tumor	ffpe	DC_core	CLEC10A	0.3093373493975904
GSM8514536	pdac8	tumor	ffpe	DC_core	CD1C	0.07740963855421687
GSM8514536	pdac8	tumor	ffpe	DC_core	CST3	0.9572289156626506
GSM8514536	pdac8	tumor	ffpe	DC_core	HLA-DRA	0.9578313253012049
GSM8514536	pdac8	tumor	ffpe	DC_core	HLA-DPA1	0.897289156626506
GSM8514536	pdac8	tumor	ffpe	DC_core	HLA-DPB1	0.8954819277108433
GSM8514536	pdac8	tumor	ffpe	mregDC_strict	LAMP3	0.13704819277108435
GSM8514536	pdac8	tumor	ffpe	mregDC_strict	FSCN1	0.2463855421686747
GSM8514536	pdac8	tumor	ffpe	mregDC_strict	CCR7	0.16987951807228915
GSM8514536	pdac8	tumor	ffpe	mregDC_strict	CCL19	0.555421686746988
GSM8514536	pdac8	tumor	ffpe	mregDC_strict	CD80	0.0746987951807229
GSM8514536	pdac8	tumor	ffpe	mregDC_strict	CD86	0.18825301204819278
GSM8514536	pdac8	tumor	ffpe	Tfh_like	CD3D	0.3686746987951807
GSM8514536	pdac8	tumor	ffpe	Tfh_like	CD3E	0.34427710843373494
GSM8514536	pdac8	tumor	ffpe	Tfh_like	CD4	0.3894578313253012
GSM8514536	pdac8	tumor	ffpe	Tfh_like	CXCR5	0.023493975903614458
GSM8514536	pdac8	tumor	ffpe	Tfh_like	PDCD1	0.07228915662650602
GSM8514536	pdac8	tumor	ffpe	Tfh_like	ICOS	0.05602409638554217
GSM8514536	pdac8	tumor	ffpe	Tfh_like	BCL6	0.6316265060240964
GSM8514536	pdac8	tumor	ffpe	Tfh_like	IL7R	0.6054216867469879
GSM8514536	pdac8	tumor	ffpe	Tfh_like	CXCL13	0.05421686746987952
GSM8514536	pdac8	tumor	ffpe	B_cell_strict	MS4A1	0.05903614457831325
GSM8514536	pdac8	tumor	ffpe	B_cell_strict	CD79A	0.07680722891566265
GSM8514536	pdac8	tumor	ffpe	B_cell_strict	CD79B	0.0858433734939759
GSM8514536	pdac8	tumor	ffpe	B_cell_strict	CD22	0.08885542168674698
GSM8514536	pdac8	tumor	ffpe	B_cell_strict	CD37	0.5204819277108433
GSM8514536	pdac8	tumor	ffpe	Plasma_cell	MZB1	0.12771084337349398
GSM8514536	pdac8	tumor	ffpe	Plasma_cell	SDC1	0.36716867469879516
GSM8514536	pdac8	tumor	ffpe	Plasma_cell	XBP1	0.9174698795180722
GSM8514537	pdac9	tumor	ffpe	DC_core	FCER1A	0.025526483726866625
GSM8514537	pdac9	tumor	ffpe	DC_core	CLEC10A	0.0398851308232291
GSM8514537	pdac9	tumor	ffpe	DC_core	CD1C	0.014677728142948309
GSM8514537	pdac9	tumor	ffpe	DC_core	CST3	0.9862795149968092
GSM8514537	pdac9	tumor	ffpe	DC_core	HLA-DRA	0.982769623484365
GSM8514537	pdac9	tumor	ffpe	DC_core	HLA-DPA1	0.8806636885768986
GSM8514537	pdac9	tumor	ffpe	DC_core	HLA-DPB1	0.8634333120612636
GSM8514537	pdac9	tumor	ffpe	mregDC_strict	LAMP3	0.08200382897255903
GSM8514537	pdac9	tumor	ffpe	mregDC_strict	FSCN1	0.4645820038289726
GSM8514537	pdac9	tumor	ffpe	mregDC_strict	CCR7	0.03063178047223995
GSM8514537	pdac9	tumor	ffpe	mregDC_strict	CCL19	0.1429483088704531
GSM8514537	pdac9	tumor	ffpe	mregDC_strict	CD80	0.06253988513082323
GSM8514537	pdac9	tumor	ffpe	mregDC_strict	CD86	0.19623484365028718
GSM8514537	pdac9	tumor	ffpe	Tfh_like	CD3D	0.13401403956604976
GSM8514537	pdac9	tumor	ffpe	Tfh_like	CD3E	0.10721123165283983
GSM8514537	pdac9	tumor	ffpe	Tfh_like	CD4	0.3120612635609445
GSM8514537	pdac9	tumor	ffpe	Tfh_like	CXCR5	0.0038289725590299937
GSM8514537	pdac9	tumor	ffpe	Tfh_like	PDCD1	0.009572431397574984
GSM8514537	pdac9	tumor	ffpe	Tfh_like	ICOS	0.018825781748564134
GSM8514537	pdac9	tumor	ffpe	Tfh_like	BCL6	0.4958519463943842
GSM8514537	pdac9	tumor	ffpe	Tfh_like	IL7R	0.21282705807275049
GSM8514537	pdac9	tumor	ffpe	Tfh_like	CXCL13	0.021378430121250798
GSM8514537	pdac9	tumor	ffpe	B_cell_strict	MS4A1	0.007657945118059987
GSM8514537	pdac9	tumor	ffpe	B_cell_strict	CD79A	0.023931078493937462
GSM8514537	pdac9	tumor	ffpe	B_cell_strict	CD79B	0.03158902361199745
GSM8514537	pdac9	tumor	ffpe	B_cell_strict	CD22	0.04307594128908743
GSM8514537	pdac9	tumor	ffpe	B_cell_strict	CD37	0.5306317804722399
GSM8514537	pdac9	tumor	ffpe	Plasma_cell	MZB1	0.0622208040842374
GSM8514537	pdac9	tumor	ffpe	Plasma_cell	SDC1	0.6062539885130823
GSM8514537	pdac9	tumor	ffpe	Plasma_cell	XBP1	0.8254626675175495
GSM8514538	pdac10	lymph_node	ffpe	DC_core	FCER1A	0.0390625
GSM8514538	pdac10	lymph_node	ffpe	DC_core	CLEC10A	0.1686698717948718
GSM8514538	pdac10	lymph_node	ffpe	DC_core	CD1C	0.03465544871794872
GSM8514538	pdac10	lymph_node	ffpe	DC_core	CST3	0.8329326923076923
GSM8514538	pdac10	lymph_node	ffpe	DC_core	HLA-DRA	0.8489583333333334
GSM8514538	pdac10	lymph_node	ffpe	DC_core	HLA-DPA1	0.7616185897435898
GSM8514538	pdac10	lymph_node	ffpe	DC_core	HLA-DPB1	0.735176282051282
GSM8514538	pdac10	lymph_node	ffpe	mregDC_strict	LAMP3	0.0907451923076923
GSM8514538	pdac10	lymph_node	ffpe	mregDC_strict	FSCN1	0.19731570512820512
GSM8514538	pdac10	lymph_node	ffpe	mregDC_strict	CCR7	0.0733173076923077
GSM8514538	pdac10	lymph_node	ffpe	mregDC_strict	CCL19	0.4701522435897436
GSM8514538	pdac10	lymph_node	ffpe	mregDC_strict	CD80	0.06670673076923077
GSM8514538	pdac10	lymph_node	ffpe	mregDC_strict	CD86	0.15985576923076922
GSM8514538	pdac10	lymph_node	ffpe	Tfh_like	CD3D	0.2109375
GSM8514538	pdac10	lymph_node	ffpe	Tfh_like	CD3E	0.15584935897435898
GSM8514538	pdac10	lymph_node	ffpe	Tfh_like	CD4	0.3010817307692308
GSM8514538	pdac10	lymph_node	ffpe	Tfh_like	CXCR5	0.016025641025641024
GSM8514538	pdac10	lymph_node	ffpe	Tfh_like	PDCD1	0.0390625
GSM8514538	pdac10	lymph_node	ffpe	Tfh_like	ICOS	0.024839743589743588
GSM8514538	pdac10	lymph_node	ffpe	Tfh_like	BCL6	0.4753605769230769
GSM8514538	pdac10	lymph_node	ffpe	Tfh_like	IL7R	0.27524038461538464
GSM8514538	pdac10	lymph_node	ffpe	Tfh_like	CXCL13	0.04146634615384615
GSM8514538	pdac10	lymph_node	ffpe	B_cell_strict	MS4A1	0.05268429487179487
GSM8514538	pdac10	lymph_node	ffpe	B_cell_strict	CD79A	0.09835737179487179
GSM8514538	pdac10	lymph_node	ffpe	B_cell_strict	CD79B	0.08473557692307693
GSM8514538	pdac10	lymph_node	ffpe	B_cell_strict	CD22	0.0641025641025641
GSM8514538	pdac10	lymph_node	ffpe	B_cell_strict	CD37	0.36278044871794873
GSM8514538	pdac10	lymph_node	ffpe	Plasma_cell	MZB1	0.12600160256410256
GSM8514538	pdac10	lymph_node	ffpe	Plasma_cell	SDC1	0.3858173076923077
GSM8514538	pdac10	lymph_node	ffpe	Plasma_cell	XBP1	0.7211538461538461
GSM8514539	pdac11	tumor	ffpe	DC_core	FCER1A	0.06712962962962964
GSM8514539	pdac11	tumor	ffpe	DC_core	CLEC10A	0.3273809523809524
GSM8514539	pdac11	tumor	ffpe	DC_core	CD1C	0.03373015873015873
GSM8514539	pdac11	tumor	ffpe	DC_core	CST3	0.9500661375661376
GSM8514539	pdac11	tumor	ffpe	DC_core	HLA-DRA	0.9662698412698413
GSM8514539	pdac11	tumor	ffpe	DC_core	HLA-DPA1	0.8237433862433863
GSM8514539	pdac11	tumor	ffpe	DC_core	HLA-DPB1	0.8429232804232805
GSM8514539	pdac11	tumor	ffpe	mregDC_strict	LAMP3	0.07771164021164022
GSM8514539	pdac11	tumor	ffpe	mregDC_strict	FSCN1	0.10615079365079365
GSM8514539	pdac11	tumor	ffpe	mregDC_strict	CCR7	0.046296296296296294
GSM8514539	pdac11	tumor	ffpe	mregDC_strict	CCL19	0.6845238095238095
GSM8514539	pdac11	tumor	ffpe	mregDC_strict	CD80	0.025793650793650792
GSM8514539	pdac11	tumor	ffpe	mregDC_strict	CD86	0.11342592592592593
GSM8514539	pdac11	tumor	ffpe	Tfh_like	CD3D	0.3445767195767196
GSM8514539	pdac11	tumor	ffpe	Tfh_like	CD3E	0.37202380952380953
GSM8514539	pdac11	tumor	ffpe	Tfh_like	CD4	0.21693121693121692
GSM8514539	pdac11	tumor	ffpe	Tfh_like	CXCR5	0.015542328042328041
GSM8514539	pdac11	tumor	ffpe	Tfh_like	PDCD1	0.05191798941798942
GSM8514539	pdac11	tumor	ffpe	Tfh_like	ICOS	0.04728835978835979
GSM8514539	pdac11	tumor	ffpe	Tfh_like	BCL6	0.4348544973544973
GSM8514539	pdac11	tumor	ffpe	Tfh_like	IL7R	0.5205026455026455
GSM8514539	pdac11	tumor	ffpe	Tfh_like	CXCL13	0.11441798941798942
