program	Level 3 Annotation	cells	patients	median_cell_score	cell_score_iqr_low	cell_score_iqr_high	positive_fraction
broad_T	Hormone-negative neuroendocrine	1608	20	-0.05254644155502319	-0.06098691746592522	-0.0434742346405983	0.004975124378109453
broad_T	Intra-pancreatic neurons	25	9	-0.057046860456466675	-0.07015104591846466	-0.043719492852687836	0.0
broad_T	Lymphatic	1645	38	-0.02657533437013626	-0.036666374653577805	-0.016461757943034172	0.03525835866261398
broad_T	Macrophage	10140	43	-0.02117963135242462	-0.031724486500024796	-0.01040300726890564	0.045364891518737675
broad_T	Malignant	64538	43	-0.034203238785266876	-0.047826651483774185	-0.021066144108772278	0.023877405559515324
broad_T	Mast	281	26	-0.022873952984809875	-0.03179726377129555	-0.011066596023738384	0.08896797153024912
broad_T	Natural killer	927	34	0.5548593401908875	0.3823453187942505	0.8452833890914917	0.8705501618122977
broad_T	Neutrophil	98	15	-0.011442930437624454	-0.02009035088121891	0.0	0.07142857142857142
broad_T	Pericyte	11779	43	-0.02314826473593712	-0.0330723412334919	-0.013752581551671028	0.0236013243908651
broad_T	Plasma	282	28	0.20693084597587585	-0.031985312700271606	0.45657598972320557	0.5531914893617021
broad_T	Schwann	1824	43	-0.026250522583723068	-0.03766937553882599	-0.01545030903071165	0.03508771929824561
broad_T	Treg	463	28	0.6061778664588928	0.3950386047363281	0.9148418307304382	0.8855291576673866
broad_T	Treg (activated)	266	26	0.6624126434326172	0.38440796732902527	0.8710925579071045	0.9210526315789473
broad_T	Treg (quiescent)	119	14	0.6395007371902466	0.4146970510482788	0.8188658952713013	0.9495798319327731
broad_T	Vascular	15530	43	-0.022320710122585297	-0.031467825174331665	-0.013593604788184166	0.014488087572440437
broad_T	Vascular smooth muscle	4711	20	-0.03054673597216606	-0.040308527648448944	-0.020652679726481438	0.006792613033326258
broad_T	myCAF	10566	36	-0.02352019026875496	-0.033051181584596634	-0.014452081173658371	0.016751845542305507
non_Tfh_CD4	ADM	3233	17	-0.07570847123861313	-0.09920238703489304	-0.04436250776052475	0.1116609959789669
non_Tfh_CD4	Acinar	5171	30	-0.05435151606798172	-0.07771652191877365	-0.027685068547725677	0.11699864629665442
non_Tfh_CD4	Acinar (REG+)	186	10	-0.039692919701337814	-0.055618930608034134	-0.026231389492750168	0.026881720430107527
non_Tfh_CD4	Adipocyte	531	17	-0.059202875941991806	-0.0856103003025055	-0.03208472579717636	0.08097928436911488
non_Tfh_CD4	Alpha	2723	29	-0.09023752063512802	-0.11238070577383041	-0.059265512973070145	0.0477414616232097
non_Tfh_CD4	B	1573	27	0.0	-0.06063786894083023	0.4218369126319885	0.49205340114431023
non_Tfh_CD4	Beta	3152	34	-0.06220472604036331	-0.0859602838754654	-0.03562689945101738	0.0399746192893401
non_Tfh_CD4	CAF	44369	43	-0.0430891253054142	-0.06718168407678604	-0.012239559553563595	0.19056097725889698
non_Tfh_CD4	CD4+ T	1839	28	0.7069027423858643	0.3399987518787384	1.1465851068496704	0.7759651984774334
non_Tfh_CD4	CD8+ T	2526	39	-0.02559000998735428	-0.047318458557128906	0.0	0.2082343626286619
non_Tfh_CD4	CD8+ T (dysfunctional)	967	26	-0.0261615552008152	-0.05171144753694534	0.39503976702690125	0.33815925542916236
non_Tfh_CD4	CD8+ T (progenitor dysfunctional)	142	22	0.184797465801239	-0.045774489641189575	0.5285667181015015	0.5140845070422535
non_Tfh_CD4	CD8+ T (terminally dysfunctional)	419	28	-0.043181970715522766	-0.06710314750671387	0.2442094087600708	0.3126491646778043
non_Tfh_CD4	Delta	556	31	-0.07844303548336029	-0.0989139974117279	-0.05162964016199112	0.048561151079136694
non_Tfh_CD4	Dendritic (activated)	91	26	-0.054222166538238525	-0.0735248252749443	-0.023325137794017792	0.17582417582417584
non_Tfh_CD4	Dendritic (conventional type 1)	181	30	-0.07050023972988129	-0.08832424134016037	-0.04468739405274391	0.09392265193370165
non_Tfh_CD4	Dendritic (conventional type 2)	1008	37	-0.0539875365793705	-0.07755327969789505	-0.03098936937749386	0.1111111111111111
non_Tfh_CD4	Dendritic (plasmacytoid)	139	19	-0.040479712188243866	-0.06948035210371017	0.268913209438324	0.43884892086330934
non_Tfh_CD4	Ductal	24627	36	-0.06250277161598206	-0.08463183045387268	-0.03821258991956711	0.04405733544483697
non_Tfh_CD4	Ductal (atypical)	4991	32	-0.0748482346534729	-0.09187204390764236	-0.05561546981334686	0.0607092766980565
non_Tfh_CD4	Epsilon	46	6	-0.05640680342912674	-0.08174405992031097	-0.04007793962955475	0.10869565217391304
non_Tfh_CD4	Gamma	1716	29	-0.06688553094863892	-0.0880419909954071	-0.04543530195951462	0.030885780885780884
non_Tfh_CD4	Hormone-negative neuroendocrine	1608	20	-0.12460000067949295	-0.14157649874687195	-0.1078338697552681	0.04477611940298507
non_Tfh_CD4	Intra-pancreatic neurons	25	9	-0.10337716341018677	-0.13359808921813965	-0.07576130330562592	0.16
non_Tfh_CD4	Lymphatic	1645	38	-0.06842571496963501	-0.08863208442926407	-0.045319847762584686	0.08753799392097264
non_Tfh_CD4	Macrophage	10140	43	-0.05769599229097366	-0.08031444251537323	-0.034195687621831894	0.046153846153846156
non_Tfh_CD4	Malignant	64538	43	-0.07060833275318146	-0.0956558883190155	-0.04296327754855156	0.07421983947441817
non_Tfh_CD4	Mast	281	26	-0.04183211922645569	-0.0617842823266983	-0.02353583462536335	0.06405693950177936
non_Tfh_CD4	Natural killer	927	34	-0.042316168546676636	-0.06797903776168823	-0.012759091332554817	0.16612729234088458
non_Tfh_CD4	Neutrophil	98	15	-0.02002136781811714	-0.03353077173233032	0.22634080052375793	0.25510204081632654
non_Tfh_CD4	Pericyte	11779	43	-0.05171539634466171	-0.07133713364601135	-0.02954714372754097	0.12912810934714322
non_Tfh_CD4	Plasma	282	28	-0.05269086733460426	-0.08486495167016983	0.2993195950984955	0.3404255319148936
non_Tfh_CD4	Schwann	1824	43	-0.05832066386938095	-0.08628817647695541	0.13218346238136292	0.2944078947368421
non_Tfh_CD4	Treg	463	28	-0.011802091263234615	-0.04197153076529503	0.53171306848526	0.4449244060475162
non_Tfh_CD4	Treg (activated)	266	26	0.2517336308956146	-0.04962309077382088	0.5734561681747437	0.556390977443609
non_Tfh_CD4	Treg (quiescent)	119	14	0.657744824886322	0.3479445278644562	1.0107574462890625	0.7983193277310925
non_Tfh_CD4	Vascular	15530	43	-0.04833531752228737	-0.07467307150363922	0.1204170435667038	0.2634900193174501
non_Tfh_CD4	Vascular smooth muscle	4711	20	-0.052333831787109375	-0.07608712464570999	-0.027384888380765915	0.12332838038632987
non_Tfh_CD4	myCAF	10566	36	-0.01895279809832573	-0.056366510689258575	0.34072643518447876	0.46668559530569753
Treg	ADM	3233	17	-0.0527314692735672	-0.07039622962474823	-0.031944192945957184	0.10392824002474482
Treg	Acinar	5171	30	-0.0414363369345665	-0.05644076317548752	-0.023981278762221336	0.03771030748404564
Treg	Acinar (REG+)	186	10	-0.023848526179790497	-0.036500390619039536	-0.012535875663161278	0.010752688172043012
Treg	Adipocyte	531	17	-0.03727104142308235	-0.052105315029621124	-0.022349171340465546	0.06591337099811675
Treg	Alpha	2723	29	-0.047607190907001495	-0.06479181349277496	-0.028393078595399857	0.08593463092177746
Treg	B	1573	27	-0.040466662496328354	-0.05931504815816879	0.0	0.24284806102987921
Treg	Beta	3152	34	-0.04075818136334419	-0.0624341145157814	-0.012784966267645359	0.17671319796954316
Treg	CAF	44369	43	-0.041704848408699036	-0.05819772183895111	-0.023615896701812744	0.048231873605445244
Treg	CD4+ T	1839	28	-0.02251618355512619	-0.0379110723733902	0.0	0.22892876563349646
Treg	CD8+ T	2526	39	-0.020585782825946808	-0.036050766706466675	0.0	0.17616785431512272
Treg	CD8+ T (dysfunctional)	967	26	-0.023336105048656464	-0.039216622710227966	0.0	0.24922440537745605
